,Dataset,Column,Algorithm,Comparisons,Runs,Inversions,Deletions,Dis,deletions_val_dist1,runs_val_dist1,deletions_comp_dist1,runs_comp_dist1,deletions_val_dist2,runs_val_dist2,deletions_comp_dist2,runs_comp_dist2,deletions_val_dist3,runs_val_dist3,deletions_comp_dist3,runs_comp_dist3,deletions_val_dist4,runs_val_dist4,deletions_comp_dist4,runs_comp_dist4,deletions_val_dist5,runs_val_dist5,deletions_comp_dist5,runs_comp_dist5,deletions_val_dist6,runs_val_dist6,deletions_comp_dist6,runs_comp_dist6,deletions_val_dist7,runs_val_dist7,deletions_comp_dist7,runs_comp_dist7,deletions_val_dist8,runs_val_dist8,deletions_comp_dist8,runs_comp_dist8,deletions_val_dist9,runs_val_dist9,deletions_comp_dist9,runs_comp_dist9,deletions_val_dist10,runs_val_dist10,deletions_comp_dist10,runs_comp_dist10,deletions_val_dist11,runs_val_dist11,deletions_comp_dist11,runs_comp_dist11,deletions_val_dist12,runs_val_dist12,deletions_comp_dist12,runs_comp_dist12,deletions_val_dist13,runs_val_dist13,deletions_comp_dist13,runs_comp_dist13,deletions_val_dist14,runs_val_dist14,deletions_comp_dist14,runs_comp_dist14,deletions_val_dist15,runs_val_dist15,deletions_comp_dist15,runs_comp_dist15,deletions_val_dist16,runs_val_dist16,deletions_comp_dist16,runs_comp_dist16,deletions_val_dist17,runs_val_dist17,deletions_comp_dist17,runs_comp_dist17,deletions_val_dist18,runs_val_dist18,deletions_comp_dist18,runs_comp_dist18,deletions_val_dist19,runs_val_dist19,deletions_comp_dist19,runs_comp_dist19,deletions_val_dist20,runs_val_dist20,deletions_comp_dist20,runs_comp_dist20,introsort,insertion_sort,merge_sort,timsort,heap_sort,quick_sort,selection_sort
768,sport_e2,age,merge_sort,1544,97,8153,178,199,0,0,0,0,0,0,1,1,1,1,3,2,1,1,4,3,2,2,7,4,3,2,10,5,4,3,13,6,5,3,16,7,5,3,17,8,6,4,20,9,6,4,21,10,6,4,22,11,6,4,23,12,7,5,27,13,8,5,31,14,9,5,35,15,10,5,39,16,11,6,43,17,12,6,47,18,13,7,51,19,1601,8352,1544,1984,1548,2148,19900
769,sport_e2,education,merge_sort,1544,75,7220,169,197,0,0,0,0,0,0,1,1,1,1,3,2,1,1,4,3,1,1,5,4,2,2,8,5,3,3,11,6,4,3,14,7,5,3,17,8,6,3,20,9,7,3,23,10,8,3,26,11,9,3,29,12,10,4,32,13,11,4,35,14,11,4,36,15,12,5,40,16,13,6,44,17,13,6,45,18,14,7,49,19,6268,7419,1544,1641,1035,6637,19900
770,na-isal-june-2023-quarter-consolidated-accounts,period,timsort,1436,6,8508,166,173,0,0,0,0,0,0,1,1,0,0,2,2,1,1,5,3,2,1,8,4,2,1,9,5,3,2,12,6,4,2,16,7,4,2,17,8,5,3,20,9,6,3,24,10,6,3,25,11,7,4,29,12,8,4,33,13,8,4,34,14,9,5,38,15,10,5,42,16,10,5,43,17,11,6,47,18,12,6,52,19,2813,8707,1544,1436,1593,3073,19900
771,na-isal-june-2023-quarter-consolidated-accounts,value,merge_sort,1544,75,7646,163,177,0,0,0,0,0,0,1,1,0,0,2,2,1,1,5,3,2,1,8,4,3,1,11,5,4,2,14,6,5,2,17,7,6,2,20,8,6,2,21,9,6,2,22,10,6,2,23,11,7,3,27,12,8,3,31,13,9,3,35,14,10,4,39,15,11,4,43,16,11,4,44,17,12,5,48,18,13,5,52,19,2642,7845,1544,1545,1663,2612,19900
772,na-isal-june-2023-quarter-consolidated-accounts,Magnitude,insertion_sort,199,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,2,0,0,3,3,0,0,4,4,0,0,5,5,0,0,6,6,0,0,7,7,0,0,8,8,0,0,9,9,0,0,10,10,0,0,11,11,0,0,12,12,0,0,13,13,0,0,14,14,0,0,15,15,0,0,16,16,0,0,17,17,0,0,18,18,0,0,19,19,19809,199,1544,792,0,19900,19900
773,na-isal-june-2023-quarter-consolidated-accounts,Sector,timsort,928,1,7482,142,173,0,0,0,0,0,0,1,1,0,0,2,2,0,0,3,3,0,0,4,4,0,0,5,5,1,1,8,6,2,1,11,7,3,1,14,8,4,1,18,9,5,1,22,10,6,1,26,11,7,1,30,12,8,1,34,13,9,1,38,14,10,1,42,15,11,1,46,16,12,1,50,17,13,1,54,18,14,1,58,19,11362,7681,1544,928,1116,11635,19900
774,na-isal-june-2023-quarter-consolidated-accounts,year,timsort,1436,6,7674,161,173,0,0,0,0,0,0,1,1,0,0,2,2,1,1,5,3,2,1,8,4,2,1,9,5,3,2,12,6,4,2,15,7,4,2,16,8,5,3,20,9,6,3,24,10,6,3,25,11,7,4,29,12,8,4,33,13,8,4,34,14,9,5,38,15,10,5,42,16,10,5,43,17,11,6,47,18,12,6,51,19,4004,7873,1544,1436,1375,4696,19900
775,na-isal-june-2023-quarter-consolidated-accounts,month,merge_sort,1544,48,7491,150,197,0,0,0,0,0,0,1,1,1,1,3,2,2,1,6,3,3,2,8,4,3,2,9,5,3,2,10,6,4,3,13,7,4,3,14,8,5,4,17,9,6,4,21,10,7,5,24,11,8,5,28,12,8,5,29,13,9,6,33,14,10,6,37,15,11,7,40,16,12,7,44,17,12,7,45,18,13,8,49,19,4854,7690,1544,1773,1078,5218,19900
776,diabetes(2),Pregnancies,merge_sort,1544,89,9443,186,199,0,0,0,0,1,1,2,1,2,2,4,2,2,2,5,3,3,3,7,4,4,4,9,5,5,4,12,6,5,4,13,7,5,4,14,8,6,5,17,9,7,5,20,10,7,5,21,11,8,6,24,12,8,6,25,13,9,7,29,14,10,8,33,15,10,8,34,16,10,8,35,17,10,8,36,18,11,9,41,19,2181,9642,1544,1808,1289,2870,19900
777,diabetes(2),Glucose,merge_sort,1544,105,10023,179,198,0,0,0,0,1,1,2,1,1,1,3,2,2,2,5,3,2,2,6,4,3,3,9,5,4,4,12,6,5,4,15,7,6,4,18,8,7,5,21,9,7,5,22,10,7,5,23,11,8,6,26,12,8,6,27,13,9,7,31,14,10,7,35,15,11,7,39,16,12,8,43,17,13,9,47,18,14,9,51,19,1634,10222,1544,2027,1607,1561,19900
